time1,Instantaneous value of horizontal radiation,time2,Instantaneous value of inclined radiation,time3,Instantaneous value of scattered radiation,time4,Direct radiation instantaneous value,time5,WindSpeed,time6,WindDirection,time7,Temperature,time8,Pressure,time9,Humidity,time10,ComponentTemp,time11,P1
2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0,2024/1/2 4:40,0
2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0,2024/1/2 4:50,0
2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0,2024/1/2 5:00,0
2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0,2024/1/2 5:10,0
2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0,2024/1/2 5:20,0
2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0,2024/1/2 5:30,0
2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0,2024/1/2 5:40,0
2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0,2024/1/2 5:50,0
2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0,2024/1/2 6:00,0
2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0,2024/1/2 6:10,0
